Sample in Buffer,Sample in Window,TRIGGER,data_out_probe_in[7:0],cnt_out_addr_in[7:0]
438,438,0,56,8d
439,439,0,47,92
440,440,0,39,97
441,441,0,2d,9c
442,442,0,21,a1
443,443,0,17,a6
444,444,0,0f,ab
445,445,0,08,b0
446,446,0,04,b5
447,447,0,01,ba
448,448,0,00,bf
449,449,0,00,c4
450,450,0,03,c9
451,451,0,08,ce
452,452,0,0e,d3
453,453,0,17,d8
454,454,0,20,dd
455,455,0,2c,e2
456,456,0,38,e7
457,457,0,46,ec
458,458,0,54,f1
459,459,0,63,f6
460,460,0,73,fb
461,461,0,7f,00
462,462,0,8f,05
463,463,0,9f,0a
464,464,0,ae,0f
465,465,0,bc,14
466,466,0,c9,19
467,467,0,d6,1e
468,468,0,e1,23
469,469,0,ea,28
470,470,0,f2,2d
471,471,0,f8,32
472,472,0,fd,37
473,473,0,ff,3c
474,474,0,ff,41
475,475,0,fe,46
476,476,0,fb,4b
477,477,0,f5,50
478,478,0,ee,55
479,479,0,e6,5a
480,480,0,db,5f
481,481,0,d0,64
482,482,0,c3,69
483,483,0,b5,6e
484,484,0,a6,73
485,485,0,97,78
486,486,0,87,7d
487,487,0,78,82
488,488,0,68,87
489,489,0,59,8c
490,490,0,4a,91
491,491,0,3c,96
492,492,0,2f,9b
493,493,0,24,a0
494,494,0,19,a5
495,495,0,11,aa
496,496,0,0a,af
497,497,0,04,b4
498,498,0,01,b9
499,499,0,00,be
500,500,0,00,c3
501,501,0,02,c8
502,502,0,07,cd
503,503,0,0d,d2
504,504,0,15,d7
505,505,0,1e,dc
506,506,0,29,e1
507,507,0,36,e6
508,508,0,43,eb
509,509,0,51,f0
510,510,0,60,f5
511,511,0,70,fa
512,512,1,7f,ff
513,513,0,8c,04
514,514,0,9c,09
515,515,0,ab,0e
516,516,0,b9,13
517,517,0,c7,18
518,518,0,d3,1d
519,519,0,df,22
520,520,0,e8,27
521,521,0,f1,2c
522,522,0,f7,31
523,523,0,fc,36
524,524,0,ff,3b
525,525,0,ff,40
526,526,0,fe,45
527,527,0,fb,4a
528,528,0,f7,4f
529,529,0,f0,54
530,530,0,e8,59
531,531,0,de,5e
532,532,0,d2,63
533,533,0,c6,68
534,534,0,b8,6d
535,535,0,a9,72
536,536,0,9a,77
537,537,0,8b,7c
538,538,0,7b,81
539,539,0,6b,86
540,540,0,5c,8b
541,541,0,4d,90
542,542,0,3f,95
543,543,0,32,9a
544,544,0,26,9f
545,545,0,1b,a4
546,546,0,12,a9
547,547,0,0b,ae
548,548,0,05,b3
549,549,0,02,b8
550,550,0,00,bd
551,551,0,00,c2
552,552,0,02,c7
553,553,0,06,cc
554,554,0,0c,d1
555,555,0,13,d6
556,556,0,1c,db
557,557,0,27,e0
558,558,0,33,e5
559,559,0,40,ea
560,560,0,4e,ef
561,561,0,5d,f4
562,562,0,6d,f9
563,563,0,7c,fe
564,564,0,89,03
565,565,0,99,08
566,566,0,a8,0d
567,567,0,b6,12
568,568,0,c4,17
569,569,0,d1,1c
570,570,0,dc,21
571,571,0,e7,26
572,572,0,ef,2b
573,573,0,f6,30
574,574,0,fb,35
575,575,0,fe,3a
