Sample in Buffer,Sample in Window,TRIGGER,b[7:0],a,c[7:0]
761,761,0,66,0,cb
762,762,0,67,0,c8
763,763,0,68,0,c6
764,764,0,69,0,c3
765,765,0,6a,0,c0
766,766,0,6b,0,bd
767,767,0,6c,0,bb
768,768,0,6d,0,b8
769,769,0,6e,0,b5
770,770,0,6f,0,b2
771,771,0,70,0,af
772,772,0,71,0,ac
773,773,0,72,0,a9
774,774,0,73,0,a6
775,775,0,74,0,a3
776,776,0,75,0,a0
777,777,0,76,0,9d
778,778,0,77,0,9a
779,779,0,78,0,97
780,780,0,79,0,94
781,781,0,7a,0,91
782,782,0,7b,0,8e
783,783,0,7c,0,8b
784,784,0,7d,0,87
785,785,0,7e,0,84
786,786,0,7f,0,81
787,787,0,80,0,7e
788,788,0,81,0,7b
789,789,0,82,0,78
790,790,0,83,0,74
791,791,0,84,0,71
792,792,0,85,0,6e
793,793,0,86,0,6b
794,794,0,87,0,68
795,795,0,88,0,65
796,796,0,89,0,62
797,797,0,8a,0,5f
798,798,0,8b,0,5c
799,799,0,8c,0,59
800,800,0,8d,0,56
801,801,0,8e,0,53
802,802,0,8f,0,50
803,803,0,90,0,4d
804,804,0,91,0,4a
805,805,0,92,0,47
806,806,0,93,0,44
807,807,0,94,0,42
808,808,0,95,0,3f
809,809,0,96,0,3c
810,810,0,97,0,39
811,811,0,98,0,37
812,812,0,99,0,34
813,813,0,9a,0,32
814,814,0,9b,0,2f
815,815,0,9c,0,2d
816,816,0,9d,0,2a
817,817,0,9e,0,28
818,818,0,9f,0,26
819,819,0,a0,0,24
820,820,0,a1,0,21
821,821,0,a2,0,1f
822,822,0,a3,0,1d
823,823,0,a4,0,1b
824,824,0,a5,0,19
825,825,0,a6,0,17
826,826,0,a7,0,16
827,827,0,a8,0,14
828,828,0,a9,0,12
829,829,0,aa,0,11
830,830,0,ab,0,0f
831,831,0,ac,0,0e
832,832,0,ad,0,0c
833,833,0,ae,0,0b
834,834,0,af,0,0a
835,835,0,b0,0,08
836,836,0,b1,0,07
837,837,0,b2,0,06
838,838,0,b3,0,05
839,839,0,b4,0,04
840,840,0,b5,0,04
841,841,0,b6,0,03
842,842,0,b7,0,02
843,843,0,b8,0,02
844,844,0,b9,0,01
845,845,0,ba,0,01
846,846,0,bb,0,00
847,847,0,bc,0,00
848,848,0,bd,0,00
849,849,0,be,0,00
850,850,0,bf,0,00
851,851,0,c0,0,00
852,852,0,c1,0,00
853,853,0,c2,0,00
854,854,0,c3,0,00
855,855,0,c4,0,00
856,856,0,c5,0,01
857,857,0,c6,0,01
858,858,0,c7,0,02
859,859,0,c8,0,02
860,860,0,c9,0,03
861,861,0,ca,0,04
862,862,0,cb,0,05
863,863,0,cc,0,06
864,864,0,cd,0,07
865,865,0,ce,0,08
866,866,0,cf,0,09
867,867,0,d0,0,0a
868,868,0,d1,0,0c
869,869,0,d2,0,0d
870,870,0,d3,0,0e
871,871,0,d4,0,10
872,872,0,d5,0,11
873,873,0,d6,0,13
874,874,0,d7,0,15
875,875,0,d8,0,17
876,876,0,d9,0,18
877,877,0,da,0,1a
878,878,0,db,0,1c
879,879,0,dc,0,1e
880,880,0,dd,0,20
881,881,0,de,0,23
882,882,0,df,0,25
883,883,0,e0,0,27
884,884,0,e1,0,29
885,885,0,e2,0,2c
886,886,0,e3,0,2e
887,887,0,e4,0,30
888,888,0,e5,0,33
889,889,0,e6,0,36
890,890,0,e7,0,38
891,891,0,e8,0,3b
892,892,0,e9,0,3d
893,893,0,ea,0,40
894,894,0,eb,0,43
